tags,configurationItemVersion,configurationItemCaptureTime,configurationItemCaptureDate,configurationStateId,awsAccountId,configurationItemStatus,resourceType,resourceId,awsRegion,identity_time_interval,bill_billing_period_end_date,bill_billing_period_start_date,identity_line_item_id,line_item_blended_cost,line_item_unblended_cost,line_item_operation,line_item_product_code,line_item_resource_id,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,resource_tags
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket'}",1.3,2024-05-21T10:42:17.959Z,2024-05-21,1716288137959,076395046979,OK,AWS::S3::Bucket,edgectms-gateway-setup-ah-serverlessdeploymentbuck-fvrybqqnnrch,us-east-1,,,,,,,,,,,,,
"{'Owner': 'team-110', 'Company': 'mdsol', 'STAGE': 'ahmed'}",1.3,2024-05-21T10:40:14.636Z,2024-05-21,1716288014636,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d,us-east-1,,,,,,,,,,,,,
"{'Company': 'mdsol', 'Owner': 'team-110'}",1.3,2024-05-21T10:26:00.585Z,2024-05-21,1716287160585,076395046979,OK,AWS::ApiGateway::Stage,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd/stages/ahmed,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:40:13.101Z,2024-05-21,1716284413101,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-ahmed/bd01de50-1755-11ef-974c-1220932d851d,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:30:57.851Z,2024-05-21,1716283857851,076395046979,OK,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-latha/71c8a000-1754-11ef-83fb-0affd5603a8d,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'ApiGatewayRestApi'}",1.3,2024-05-21T09:49:52.096Z,2024-05-21,1716284992096,076395046979,ResourceDiscovered,AWS::ApiGateway::RestApi,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:27:35.699Z,2024-05-21,1716287255699,076395046979,ResourceDeleted,AWS::ApiGateway::RestApi,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:36:02.554Z,2024-05-21,1716287762554,076395046979,ResourceDeleted,AWS::ApiGateway::RestApi,arn:aws:apigateway:us-east-1::/restapis/c7amxyycm8,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:50:19.427Z,2024-05-21,1716285019427,076395046979,ResourceDiscovered,AWS::ApiGateway::Stage,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd/stages/ahmed,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:26:45.518Z,2024-05-21,1716287205518,076395046979,ResourceDeleted,AWS::ApiGateway::Stage,arn:aws:apigateway:us-east-1::/restapis/9vhgtb9ubd/stages/ahmed,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:38:04.105Z,2024-05-21,1716284284105,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-ahmed/bd01de50-1755-11ef-974c-1220932d851d,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:28:48.468Z,2024-05-21,1716283728468,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-latha/71c8a000-1754-11ef-83fb-0affd5603a8d,us-east-1,,,,,,,,,,,,,
"{'Owner': 'team-110', 'Company': 'mdsol', 'STAGE': 'ahmed'}",1.3,2024-05-21T09:49:21.611Z,2024-05-21,1716284961611,076395046979,ResourceDiscovered,AWS::CloudFormation::Stack,arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:41:03.197Z,2024-05-21,1716284463197,076395046979,ResourceDiscovered,AWS::DynamoDB::Table,EdgeCTMSCustomers-ahmed,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:31:33.135Z,2024-05-21,1716283893135,076395046979,ResourceDiscovered,AWS::DynamoDB::Table,EdgeCTMSCustomers-latha,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:41:56.084Z,2024-05-21,1716284516084,076395046979,ResourceDeleted,AWS::EC2::FlowLog,fl-09f8195ebdcb225ad,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:41:56.084Z,2024-05-21,1716284516084,076395046979,ResourceDeleted,AWS::EC2::FlowLog,fl-0b33713a1bac2dd92,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:40:32.182Z,2024-05-21,1716284432182,076395046979,ResourceDiscovered,AWS::KMS::Alias,alias/edgectmsapigateway_ahmed,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T09:31:51.502Z,2024-05-21,1716283911502,076395046979,ResourceDiscovered,AWS::KMS::Alias,alias/edgectmsapigateway_latha,us-east-1,,,,,,,,,,,,,
{'STAGE': 'latha'},1.3,2024-05-21T09:29:41.582Z,2024-05-21,1716283781582,076395046979,ResourceDiscovered,AWS::KMS::Key,4e4c6102-4b47-4a6a-aa62-798bf7f1a8e5,us-east-1,,,,,,,,,,,,,
{'STAGE': 'ahmed'},1.3,2024-05-21T09:40:32.208Z,2024-05-21,1716284432208,076395046979,ResourceDiscovered,AWS::KMS::Key,ebe686c4-6e1b-4365-bc05-a74d415634f0,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'CreateTenantLambdaFunction'}",1.3,2024-05-21T09:51:23.460Z,2024-05-21,1716285083460,076395046979,ResourceDiscovered,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-createTenant,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:42:08.822Z,2024-05-21,1716288128822,076395046979,ResourceDeleted,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-createTenant,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'CtmsMapperLambdaFunction'}",1.3,2024-05-21T09:51:23.733Z,2024-05-21,1716285083733,076395046979,ResourceDiscovered,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-ctmsMapper,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:42:09.030Z,2024-05-21,1716288129030,076395046979,ResourceDeleted,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-ctmsMapper,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'CustomDashresourceDashapigwDashcwDashroleLambdaFunction'}",1.3,2024-05-21T09:52:37.691Z,2024-05-21,1716285157691,076395046979,ResourceDiscovered,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-custom-resource-apigw-cw-role,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:42:08.927Z,2024-05-21,1716288128927,076395046979,ResourceDeleted,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-custom-resource-apigw-cw-role,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'DeleteTenantLambdaFunction'}",1.3,2024-05-21T09:51:24.000Z,2024-05-21,1716285084000,076395046979,ResourceDiscovered,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-deleteTenant,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:42:09.147Z,2024-05-21,1716288129147,076395046979,ResourceDeleted,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-deleteTenant,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'GetTenantLambdaFunction'}",1.3,2024-05-21T09:51:23.215Z,2024-05-21,1716285083215,076395046979,ResourceDiscovered,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-getTenant,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:42:08.690Z,2024-05-21,1716288128690,076395046979,ResourceDeleted,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-getTenant,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-setup-ahmed', 'Company': 'mdsol', 'Owner': 'team-110', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-setup-ahmed/50acf300-1757-11ef-b0ce-0e4d9d68823d', 'STAGE': 'ahmed', 'aws:cloudformation:logical-id': 'ListTenantLambdaFunction'}",1.3,2024-05-21T09:51:24.260Z,2024-05-21,1716285084260,076395046979,ResourceDiscovered,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-listTenant,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T10:42:09.257Z,2024-05-21,1716288129257,076395046979,ResourceDeleted,AWS::Lambda::Function,edgectms-gateway-setup-ahmed-listTenant,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-envprep-ahmed', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-ahmed/bd01de50-1755-11ef-974c-1220932d851d', 'STAGE': 'ahmed'}",1.3,2024-05-21T09:38:23.588Z,2024-05-21,1716284303588,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-envprep--serverlessdeploymentbuck-k12miqmdltaz,us-east-1,,,,,,,,,,,,,
"{'aws:cloudformation:stack-name': 'edgectms-gateway-envprep-latha', 'aws:cloudformation:logical-id': 'ServerlessDeploymentBucket', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-east-1:076395046979:stack/edgectms-gateway-envprep-latha/71c8a000-1754-11ef-83fb-0affd5603a8d', 'STAGE': 'latha'}",1.3,2024-05-21T09:29:41.976Z,2024-05-21,1716283781976,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-envprep--serverlessdeploymentbuck-ywb5nisvapie,us-east-1,,,,,,,,,,,,,
"{'Company': 'mdsol', 'Owner': 'team-110', 'STAGE': 'ahmed'}",1.3,2024-05-21T09:49:16.256Z,2024-05-21,1716284956256,076395046979,ResourceDiscovered,AWS::S3::Bucket,edgectms-gateway-setup-ah-serverlessdeploymentbuck-fvrybqqnnrch,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T04:41:50.894Z,2024-05-21,1716266510894,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/mmi-sandbox-transferDownloadQueue-test-sai,us-east-1,,,,,,,,,,,,,
{},1.3,2024-05-21T04:41:51.208Z,2024-05-21,1716266511208,076395046979,ResourceDiscovered,AWS::SQS::Queue,https://sqs.us-east-1.amazonaws.com/076395046979/mmi-sandbox-transferUploadQueue-test-sai,us-east-1,,,,,,,,,,,,,
